soil_sp,decay_cat,sterilization,plant_sp,pot_id,pair_id,block_id,color_Y,color_S,color_B,thrip,gall,below_twisted_root,above_morph,above_mass,below_mass,rosetting,apical_wilt
M,fresh,live,E,131,g,P,0,0,1,0,0,1,O,1229.4,793.76,0,0
M,fresh,live,E,132,j,P,0,0,0,0,0,1,O,1284.82,429.6,0,0
M,fresh,live,E,133,e,C,0,0,0,0,0,1,O,1066.46,579.9,0,0
M,fresh,live,E,134,f,P,0,0,0,0,1,1,O,823.8,151.15,0,0
M,fresh,live,E,135,a,C,1,0,1,0,1,1,CO,925.75,266.24,0,0
M,fresh,live,E,136,d,C,1,0,1,0,1,1,CO,596.66,91.61,0,0
M,fresh,live,E,137,b,C,0,0,0,0,1,1,O,1242.12,597.02,0,0
M,fresh,live,E,138,h,P,0,0,0,0,0,0,O,275.27,68.31,0,0
M,fresh,live,E,139,i,P,0,0,1,0,0,0,O,1113.54,333.27,0,0
M,fresh,live,E,140,c,C,0,0,0,0,0,1,O,1607.42,747.35,0,0
M,shortd,sterile,E,141,b,H,0,0,1,0,1,0,C,598.17,104.61,0,0
M,shortd,sterile,E,142,g,G,0,0,1,0,1,1,C,125.67,24.14,0,0
M,shortd,sterile,E,143,f,G,0,0,1,0,1,0,C,154.37,38.75,0,1
M,shortd,sterile,E,144,i,G,0,0,1,0,1,1,O,109.32,25.3,0,0
M,shortd,sterile,E,145,e,H,0,0,1,0,1,0,C,212.9,42.07,0,0
M,shortd,sterile,E,146,a,H,0,0,1,0,1,0,C,322.33,82.18,0,0
M,shortd,sterile,E,147,c,H,0,0,0,0,1,0,O,290.61,88.84,0,0
M,shortd,sterile,E,148,h,G,0,0,1,0,1,0,CO,139.17,26.09,0,0
M,shortd,sterile,E,149,d,H,,,,,,,,Dead,Dead,,
M,shortd,sterile,E,150,j,G,0,0,1,0,1,0,O,48.23,6.14,1,0
M,shortd,live,E,151,c,H,0,0,0,0,0,0,O,364.32,55.52,1,0
M,shortd,live,E,152,j,H,0,0,1,0,1,0,O,233.85,52.23,0,0
M,shortd,live,E,153,f,H,0,0,1,0,1,0,CO,190.02,30.77,0,0
M,shortd,live,E,154,b,H,0,0,1,0,1,0,C,156.35,41.73,0,0
M,shortd,live,E,155,g,H,0,0,1,0,1,0,O,365.93,65.2,0,0
M,shortd,live,E,156,d,H,0,0,1,0,1,0,O,241.65,43.04,0,0
M,shortd,live,E,157,a,H,0,0,1,0,1,0,C,420.82,94.02,0,0
M,shortd,live,E,158,i,H,0,0,0,0,0,0,O,160.35,43.85,0,0
M,shortd,live,E,159,h,H,0,0,0,0,1,0,NA,711.59,124.65,0,0
M,shortd,live,E,160,e,H,0,0,1,0,0,0,O,1063.65,498.51,0,0
M,longd,sterile,E,41,i,Q,0,0,1,0,0,0,C,35.58,9.15,0,0
M,longd,sterile,E,42,d,B,0,0,1,0,1,0,C,470.38,89.15,0,0
M,longd,sterile,E,43,g,Q,1,0,1,0,1,1,C,483.39,87.6,0,0
M,longd,sterile,E,44,b,B,0,0,1,0,1,0,C,277.42,36.95,0,0
M,longd,sterile,E,45,j,Q,0,0,1,NA,NA,0,CO,85.82,10.16,0,0
M,longd,sterile,E,46,c,B,0,0,1,0,1,0,CO,542.43,103.53,0,0
M,longd,sterile,E,47,e,B,1,0,1,0,1,0,C,118.19,15.32,0,0
