soil_sp,decay_cat,soil_inoculum,seedling_sp,pot_id,pair_id,block_id,survival,12/26,1/13,2/1,2/18,3/2,3/15,3/27,4/10,4/26,5/19,5/29,apical_wilt
ENGERO,shortd,sterile,MACHZU,87,a,G,,7,7.7,9,10.3,10.7,11.5,12,12.9,13.5,13.6,14.4,0
ENGERO,shortd,sterile,MACHZU,88,d,G,,1.2,2.2,3,3.3,3.3,3.3,3.6,3.7,4.1,2.6,2.6,1
ENGERO,shortd,sterile,MACHZU,89,j,G,,4.9,5.2,6,6.5,6.7,7.2,7.3,8,8.6,9.3,9.4,0
ENGERO,shortd,sterile,MACHZU,90,e,G,,5.2,5.7,6.2,7.8,8.2,8.6,9,9.5,10.6,11,11.1,0
ENGERO,shortd,live,MACHZU,91,e,J,,4.6,6,7.5,9.1,10.1,10.7,11.4,12.5,12.7,14,14,0
ENGERO,shortd,live,MACHZU,92,g,J,,4.1,6,7,7.6,8.5,8.7,9.1,9.5,10.5,11.3,11.4,0
ENGERO,shortd,live,MACHZU,93,j,J,,4,4.4,5.2,6,6.4,6.8,6.8,7.2,8,8.2,8.7,0
ENGERO,shortd,live,MACHZU,94,i,J,,5.3,6.1,6.7,8.2,8.3,8.3,9,9.5,10.5,11.3,11.7,0
ENGERO,shortd,live,MACHZU,95,a,J,,5.2,6.1,6.6,7,8,8.5,9,9.2,10.6,11.4,12.2,0
ENGERO,shortd,live,MACHZU,96,d,J,,4.4,5.7,6.2,7.1,7.5,8.2,8.8,10.5,13.1,13.5,14.1,0
ENGERO,shortd,live,MACHZU,97,f,J,,4.5,5.3,5.6,6,6,6,6,5.6,5.5,5.5,5.9,0
ENGERO,shortd,live,MACHZU,98,b,J,,7.1,7.7,9.3,10.5,10.7,11.5,12,12.6,13.1,13.5,13.5,0
ENGERO,shortd,live,MACHZU,99,h,J,,4.7,4.9,6.7,8.2,9,9.5,10.2,10.6,11.2,12.2,13,0
ENGERO,shortd,live,MACHZU,100,c,J,,3.7,4.6,5,6.1,6.6,7,7.1,7.5,8.2,8.6,9,0
ENGERO,longd,sterile,MACHZU,101,c,O,,4.7,5.3,6,7,7.7,8.1,8.5,9,9.9,10.4,11,0
ENGERO,longd,sterile,MACHZU,102,a,O,,4.8,5.6,6.5,7,7.2,7.2,7.6,7.9,7.2,7.5,7.6,1
ENGERO,longd,sterile,MACHZU,103,d,O,,3,3.5,4.8,5.5,5.5,5.6,6,6.3,6.6,7.5,8.2,0
ENGERO,longd,sterile,MACHZU,104,h,O,,2.4,3.8,4.8,6.5,6.7,7.2,8.1,8.7,10,10.6,11,0
ENGERO,longd,sterile,MACHZU,105,f,O,,4.2,4.7,5.2,6.1,6.5,6.5,6.7,7.4,8.3,9.1,9.4,0
ENGERO,longd,sterile,MACHZU,106,j,O,,2.5,3.1,4,4.6,4.7,4.8,5.2,5.5,5.9,6.5,7.2,0
ENGERO,longd,sterile,MACHZU,107,b,O,,4.2,5,6.1,7.3,8.2,8.2,9,9.4,9.8,11,11.5,0
ENGERO,longd,sterile,MACHZU,108,e,O,,4.7,5.6,6.6,7.5,8.1,8.1,8.4,8.6,8.8,9.5,9.5,0
ENGERO,longd,sterile,MACHZU,109,g,O,,3.3,6.4,7.2,8.9,9.6,10,11.1,11.9,12,13.1,13.7,0
ENGERO,longd,sterile,MACHZU,110,i,O,,3.4,5.3,5.5,6,6.2,6.2,6.6,6.7,7,7.1,7.2,0
ENGERO,longd,live,MACHZU,111,c,Q,,4,5.5,6.5,8.7,9.9,10.2,11,11.5,12.2,12.5,13,0
ENGERO,longd,live,MACHZU,112,i,Q,,4,4.6,5.8,6.4,6.6,6.7,6.7,7,7.5,6.5,7,1
ENGERO,longd,live,MACHZU,113,a,Q,,4.7,NA,7.6,9.5,10.6,11.5,12.2,14,16.6,16.6,17.7,0
ENGERO,longd,live,MACHZU,114,f,Q,,3.3,5.2,5.6,5.6,5.6,5.6,5.2,5.5,5.6,6.2,6.3,0
ENGERO,longd,live,MACHZU,115,h,Q,,3.5,4.5,5.5,6,6,6.1,6.1,6,5.1,5.1,5.3,0
ENGERO,longd,live,MACHZU,116,g,Q,,3,4.6,5.7,6.1,6.5,7,7.2,8,8.5,9.2,9.2,0
ENGERO,longd,live,MACHZU,117,j,Q,,4,5.3,6.2,7.6,8.1,8.6,8.6,9.2,9.7,10.3,10.3,0
ENGERO,longd,live,MACHZU,118,b,Q,,5.3,7,7.5,9,9.2,9.6,10,10,10.5,11.6,11.8,0
ENGERO,longd,live,MACHZU,119,d,Q,,3.6,5.1,6.2,8,8.6,9.6,10.6,11.6,12.4,12.8,14,0
