"","X","soil_sp","decay_cat","sterilization","plant_sp","pot_id","pair_id","block_id","above_mass","below_mass","rosetting","replicate","total_mass","height","apical_wilt","growth_rate","root_shoot_ratio"
"122",122,"M","fresh","sterile","E",122,"e","P",301.37,52.62,1,2,353.99,10.9,0,6,0.174602647907887
"123",123,"M","fresh","sterile","E",123,"h","P",388.31,76.74,1,3,465.05,10.5,0,6,0.197625608405655
"124",124,"M","fresh","sterile","E",124,"g","P",781.12,221.73,0,4,1002.85,9.2,0,5.1,0.283861634575993
"125",125,"M","fresh","sterile","E",125,"f","P",292.17,37.32,1,5,329.49,10.7,0,6.1,0.127733853578396
"126",126,"M","fresh","sterile","E",126,"d","P",257.45,51.83,1,6,309.28,8,0,3.6,0.201320644785395
"127",127,"M","fresh","sterile","E",127,"j","P",342.31,78.03,1,7,420.34,9.9,0,6.2,0.227951272238614
"128",128,"M","fresh","sterile","E",128,"b","P",832.72,182.89,1,8,1015.61,11.5,0,6.6,0.219629647420501
"129",129,"M","fresh","sterile","E",129,"i","P",NA,NA,NA,9,NA,NA,0,NA,NA
"130",130,"M","fresh","sterile","E",130,"c","P",NA,NA,NA,10,NA,NA,0,NA,NA
"131",131,"M","fresh","live","E",131,"g","P",1229.4,793.76,0,1,2023.16,7.3,0,3.9,0.645648283715634
"132",132,"M","fresh","live","E",132,"j","P",1284.82,429.6,0,2,1714.42,10.7,0,6.8,0.334365903395028
"133",133,"M","fresh","live","E",133,"e","C",1066.46,579.9,0,3,1646.36,10.4,0,6,0.543761603810738
"134",134,"M","fresh","live","E",134,"f","P",823.8,151.15,0,4,974.95,12.5,0,8,0.183478999757223
"135",135,"M","fresh","live","E",135,"a","C",925.75,266.24,0,5,1191.99,16.4,0,10.4,0.287593842830138
"136",136,"M","fresh","live","E",136,"d","C",596.66,91.61,0,6,688.27,10.1,0,5.4,0.153538028357859
"137",137,"M","fresh","live","E",137,"b","C",1242.12,597.02,0,7,1839.14,14,0,8.7,0.480645992335684
"138",138,"M","fresh","live","E",138,"h","P",275.27,68.31,0,8,343.58,10.1,0,5.2,0.24815635557816
"139",139,"M","fresh","live","E",139,"i","P",1113.54,333.27,0,9,1446.81,12.7,0,7.9,0.299288754782046
"140",140,"M","fresh","live","E",140,"c","C",1607.42,747.35,0,10,2354.77,11,0,6.4,0.464937601871322
"141",141,"M","shortd","sterile","E",141,"b","H",598.17,104.61,0,1,702.78,14.8,0,10.6,0.174883394352776
"142",142,"M","shortd","sterile","E",142,"g","G",125.67,24.14,0,2,149.81,8.6,0,4.7,0.192090395480226
"143",143,"M","shortd","sterile","E",143,"f","G",154.37,38.75,0,3,193.12,8.8,1,4.7,0.251020275960355
"144",144,"M","shortd","sterile","E",144,"i","G",109.32,25.3,0,4,134.62,8.5,0,5,0.231430662275887
"145",145,"M","shortd","sterile","E",145,"e","H",212.9,42.07,0,5,254.97,8.7,0,5.3,0.19760450915923
"146",146,"M","shortd","sterile","E",146,"a","H",322.33,82.18,0,6,404.51,11.1,0,5.9,0.254956100890392
